Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,file_name,genre,possibility0,possibility1,possibility2,possibility3,possibility4,possibility5,possibility6,possibility7,possibility8,possibility9
text,yellow,font,graphic design,logo,product,design,line,illustration,graphics,a4052598745_2.jpg,pop,0.9558038115501404,0.9440847039222716,0.8896929621696472,0.7712177038192749,0.7488167881965637,0.7417616248130798,0.6981098055839539,0.6673528552055359,0.648449718952179,0.6338828802108765
face,child,nose,infant,eating,cheek,chin,mouth,lip,toddler,a2801134898_2.jpg,pop,0.9562084078788756,0.9297033548355104,0.9149004817008972,0.8846432566642761,0.8652375936508179,0.8634249567985535,0.7838456630706787,0.7629184126853943,0.7381055951118469,0.6861986517906189
yellow,font,circle,graphics,computer wallpaper,graphic design,,,,,a2055304866_2.jpg,pop,0.9549083709716796,0.68479984998703,0.540338397026062,0.5346589684486389,0.5141657590866089,0.5059925317764282,,,,
black,darkness,pianist,silhouette,string instrument,musical instrument,backlighting,musical instrument accessory,angle,midnight,a2414591444_2.jpg,pop,0.9539188146591188,0.8965263962745667,0.8062059283256531,0.7752615213394165,0.7030895948410034,0.6357709169387817,0.6195056438446045,0.5919317603111267,0.5500744581222534,0.5421704053878784
girl,product,,,,,,,,,a1265370895_2.jpg,pop,0.570584774017334,0.5086607336997986,,,,,,,,
sky,painting,watercolor paint,paint,artwork,arctic,winter,acrylic paint,calm,,a2291838102_2.jpg,pop,0.8845196962356567,0.797385036945343,0.7510830760002136,0.6232750415802002,0.5948668718338013,0.5445935130119324,0.539897084236145,0.5128306746482849,0.5032329559326172,
black and white,design,pattern,monochrome photography,font,monochrome,drawing,visual arts,line,art,a3860154151_2.jpg,pop,0.94088214635849,0.7954514622688293,0.7812731266021729,0.7768455147743225,0.7474592328071594,0.7374643683433533,0.6832506060600281,0.6723036170005798,0.6581549048423767,0.6298115253448486
pink,cartoon,flower,mammal,fictional character,vertebrate,text,mythical creature,horse like mammal,design,a2220355631_2.jpg,pop,0.9643607139587402,0.9457948803901672,0.9286521673202516,0.9236404895782472,0.9209028482437134,0.9037036895751952,0.8876769542694092,0.8469841480255127,0.8259193301200867,0.7816817760467529
orange,font,circle,product,,,,,,,a2867972009_2.jpg,pop,0.8084642291069031,0.7244197130203247,0.6405149698257446,0.5137457847595215,,,,,,
yellow,retro style,vintage clothing,fashion,design,pattern,advertising,poster,pattern,font,a1917387552_2.jpg,pop,0.9125624895095824,0.7850120067596436,0.7470213174819946,0.7357435822486877,0.7316104769706726,0.7149436473846436,0.6839711666107178,0.6734563112258911,0.6454616785049438,0.5495642423629761
yellow,toy,product,font,,,,,,,a1475737592_2.jpg,pop,0.9216353297233582,0.7114157676696777,0.5820577144622803,0.5281047821044922,,,,,,
